run_id,hour
L1,7
L1,8
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,9
L1,10
L1,11
L1,12
L1,13
L1,14
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,9
L1,10
L1,11
L1,15
L1,16
L1,17
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,18
L1,19
L1,20
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,9
L1,10
L1,11
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,18
L1,19
L1,20
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,9
L1,10
L1,11
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,18
L1,19
L1,20
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,9
L1,10
L1,11
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,3
L1,4
L1,5
L1,21
L1,22
L1,23
L1,0
L1,1
L1,2
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,3
L1,4
L1,5
L1,6
L1,7
L1,8
L1,12
L1,13
L1,14
L1,15
L1,16
L1,17
L1,21
L1,22
L1,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,18
L2,19
L2,20
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,2
L2,3
L2,4
L2,5
L2,8
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,12
L2,13
L2,14
L2,15
L2,16
L2,17
L2,21
L2,22
L2,23
L2,0
L2,1
L2,2
L2,3
L2,4
L2,5
L2,6
L2,7
L2,8
L2,9
L2,10
L2,11
L2,12
L2,13
L2,14
