;j_central_T_supply;j_north_T_supply;j_south_T_supply;j_east_T_supply;j_west_T_supply;zone_01_T_supply;zone_01_T_return;zone_02_T_supply;zone_02_T_return;zone_03_T_supply;zone_03_T_return;zone_04_T_supply;zone_04_T_return;zone_05_T_supply;zone_05_T_return;zone_06_T_supply;zone_06_T_return;zone_07_T_supply;zone_07_T_return;zone_08_T_supply;zone_08_T_return;zone_09_T_supply;zone_09_T_return;zone_10_T_supply;zone_10_T_return;zone_11_T_supply;zone_11_T_return;zone_12_T_supply;zone_12_T_return;zone_13_T_supply;zone_13_T_return;zone_14_T_supply;zone_14_T_return;zone_15_T_supply;zone_15_T_return;zone_16_T_supply;zone_16_T_return;zone_17_T_supply;zone_17_T_return;zone_18_T_supply;zone_18_T_return;zone_19_T_supply;zone_19_T_return;zone_20_T_supply;zone_20_T_return;zone_21_T_supply;zone_21_T_return;zone_22_T_supply;zone_22_T_return;zone_23_T_supply;zone_23_T_return
47;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
48;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
49;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
50;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
51;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
52;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
53;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
54;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
55;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
56;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
57;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
58;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
59;90.0;90.0;90.0;90.0;90.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0;90.0;55.0
